% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=558166, Sun Jul 13 17:58:37 2025, <python>{}</python>
1 16 0.49838724003986 1.0000499752341523 -2.016923189163208 -2.0169231891632080e+00 -2.0 -0.6657116413116455   
2 32 0.496838577453004 1.0000499752341523 -2.0477402210235596 -2.0477402210235596e+00 -2.0 -0.6072467565536499   
3 48 0.4953424306966796 1.0000499752341523 -2.0477402210235596 -2.0151515007019043e+00 -2.0 -0.5029171705245972   
4 64 0.49389048207286623 1.0000499752341523 -2.0641226768493652 -2.0641226768493652e+00 -2.0 -0.970222532749176   
5 80 0.49247484310039236 1.0000499752341523 -2.0641226768493652 -2.0507519245147705e+00 -2.0 -1.1883649826049805   
6 96 0.49109697612478875 1.0000499752341523 -2.0641226768493652 -2.0032176971435547e+00 -2.0 -0.5242148041725159   
7 112 0.48975275152324255 1.0000499752341523 -2.0774946212768555 -2.0774946212768555e+00 -2.0 -1.2133352756500244   
8 128 0.4884365983147377 1.0000499752341523 -2.1524150371551514 -2.1524150371551514e+00 -2.0 -0.15774506330490112   
9 144 0.48714330462110006 1.0000499752341523 -2.1524150371551514 -2.0926177501678467e+00 -2.0 -0.6762083768844604   
10 160 0.4858746537425373 1.0000499752341523 -2.1524150371551514 -2.0316138267517090e+00 -1.933861255645752 -0.022261977195739746   
